"Parent_ID","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","ssa_m2_g"
"EC_21",9,37.1,50,96.1,3.9,0,7.65960388021968
"EC_22",12.7,54,24.5,91.2,2.7,6.1,30.9750200079593
"EC_22",12.7,54,24.5,91.2,2.7,6.1,29.0894967967753
"EC_22",12.7,54,24.5,91.2,2.7,6.1,34.6565395350085
"EC_23",13.9,24.5,42.7,81.1,6.2,12.7,67.3015188016854
"EC_23",13.9,24.5,42.7,81.1,6.2,12.7,68.5569826252077
"EC_24",4.2,8.7,83.6,96.5,3.4,0.1,4.93553025638038
"EC_24",4.2,8.7,83.6,96.5,3.4,0.1,4.65824779485728
"EC_27",46.5,25,1.1,72.6,15.7,11.7,33.8650416892204
"EC_27",46.5,25,1.1,72.6,15.7,11.7,34.6096043116227
"EC_27",46.5,25,1.1,72.6,15.7,11.7,33.723396358558
"EC_32",6.6,1.1,1.1,8.8,20.6,70.6,103.098704924528
"EC_32",6.6,1.1,1.1,8.8,20.6,70.6,92.5795773286053
"EC_32",6.6,1.1,1.1,8.8,20.6,70.6,90.9856163018096
"EC_33",0.8,6.2,92.1,99.1,0.9,0,3.3737832969888
"EC_33",0.8,6.2,92.1,99.1,0.9,0,5.68936919416335
"EC_33",0.8,6.2,92.1,99.1,0.9,0,6.98449786409818
"EC_34",80.7,4,0.6,85.3,3.4,11.3,13.5277101145461
"EC_34",80.7,4,0.6,85.3,3.4,11.3,12.3393326512713
"EC_34",80.7,4,0.6,85.3,3.4,11.3,18.5538510166794
"EC_35",28.4,62.3,3.5,94.2,2.5,3.3,18.7966210521136
"EC_35",28.4,62.3,3.5,94.2,2.5,3.3,20.2524300896078
"EC_35",28.4,62.3,3.5,94.2,2.5,3.3,12.3277947008312
"EC_37",3.7,4.7,89.3,97.7,2.3,0,5.65410798130883
"EC_37",3.7,4.7,89.3,97.7,2.3,0,9.60502677280986
"EC_37",3.7,4.7,89.3,97.7,2.3,0,5.79651028298082
"EC_38",5.2,12.1,80.5,97.8,2.2,0,7.55349276712662
"EC_38",5.2,12.1,80.5,97.8,2.2,0,4.51501692141168
"EC_39",3.7,25.3,67.9,96.9,3.1,0,5.542474825874
"EC_39",3.7,25.3,67.9,96.9,3.1,0,4.69326939644582
"EC_39",3.7,25.3,67.9,96.9,3.1,0,5.77321051298859
"EC_40",35.7,1.8,3.8,41.3,17.7,41,69.8013726653024
"EC_40",35.7,1.8,3.8,41.3,17.7,41,68.2786075124911
"EC_40",35.7,1.8,3.8,41.3,17.7,41,68.5271357688494
"EC_41",7.2,31.9,55,94.1,4.1,1.8,11.0564887850954
"EC_41",7.2,31.9,55,94.1,4.1,1.8,10.2849269877714
"EC_41",7.2,31.9,55,94.1,4.1,1.8,12.2889510771147
"EC_42",6.4,11.3,77,94.7,1.3,4,6.77467255380635
"EC_42",6.4,11.3,77,94.7,1.3,4,5.24097608789287
"EC_42",6.4,11.3,77,94.7,1.3,4,9.51611954877132
"EC_44",12,23.3,59.7,95,2.6,2.4,2.23273873099522
"EC_44",12,23.3,59.7,95,2.6,2.4,12.0041125511858
"EC_44",12,23.3,59.7,95,2.6,2.4,19.1363217380375
