"","Sample_Name","Effect_Size_mg_per_L","Effect_Size_mg_per_kg","Fe_Difference_mg_per_L","Fe_Difference_mg_per_kg","SpC_Difference","pH_Difference","Temp_Difference","Initial_Grav_Water_Difference","Final_Grav_Water_Difference"
"37","EC_076_INC",123.6846,404.2786,0.0605333333333333,0.198050024459349,-12.64,-0.0540000000000003,0.239999999999998,0.316900572289929,0.552793352349581
"38","EC_078_INC",185.0966,802.7182,0.2438,1.05977337364711,-189.63,-0.134,0,0.259415597844482,0.515176901586296
"39","EC_080_INC",5.80840000000001,85.6476000000002,0.0218666666666667,0.287966167421333,12.3,0.132000000000001,-0.160000000000004,0.23128595227043,0.857869848336603
"40","EC_081_INC",177.0588,611.7942,0.084,0.294817549328689,6.68600000000001,0.146,0,0.197129523753901,0.372007326184535
"41","EC_082_INC",183.2652,622.0404,0.0140666666666667,0.0516632621789896,10.38,0.0880000000000001,-0.0199999999999996,0.194240576231892,0.312855045795639
"42","EC_084_INC",130.271,470.717,0.0388666666666667,0.140521470963916,30.76,0.186,0,0.138086017927937,0.372298615622422
"43","EC_085_INC",172.3602,589.499,0.706533333333333,2.4168997323248,8.46000000000001,0.266,-0.219999999999999,0.201105495906574,0.410651541405151
"44","EC_088_INC",192.6464,724.8092,0.312641666666667,1.1768146628664,21.678,0.318,-0.18,0.220594769643889,0.489248335358557
"45","EC_089_INC",1.3784,4.5676,0.0291333333333333,0.101897522655913,14.484,0.024,-0.120000000000001,0.193660297614713,0.291514981924824
"46","EC_090_INC",138.2852,411.3666,0.3882,1.15656128811869,-7.372,0.616,0.0199999999999996,0.176606896089505,0.280712951823813
"47","EC_091_INC",129.4782,432.0684,0.0733333333333333,0.246687348982355,-8.18000000000001,0.44,-0.0399999999999991,0.197935796066448,0.348290420732047
"48","EC_092_INC",4.151,12.4958,0.0530095238095238,0.161321073611679,25.58,-0.606,0.0199999999999996,0.180539571641873,0.293686049271437
"49","EC_093_INC",0.4156,1.287,-0.000466666666666657,0.00118234124980146,14.956,0.0500000000000007,-0.280000000000001,0.184979536418242,0.292112674281662
"50","EC_094_INC",127.1186,412.8508,0.0477333333333333,0.153326741380188,4.34,-0.102,-0.140000000000001,0.193601379783387,0.320558642395923
"51","EC_095_INC",278.3726,1169.6328,0.334733333333333,1.4077877542802,-34.78,0.426,0.0599999999999987,0.235641508627985,0.583142054775499
