"","Sample_ID","Rep","median_SpC","median_pH","median_Temp","median_Respiration_Rate_mg_DO_per_L_per_H","median_Respiration_Rate_mg_DO_per_kg_per_H","median_Fe_mg_per_kg","median_Fe_mg_per_L","median_Initial_Gravimetric_Moisture","median_Final_Gravimetric_Moisture","median_ATP_nanomol_per_L","median_ATP_picomol_per_g","median_NPOC_mg_C_per_L","median_TN_mg_N_per_L","median_NPOC_mg_C_per_kg","median_TN_mg_N_per_kg","median_toc_percent","median_tn_percent","median_Percent_Fine_Sand","median_Percent_Med_Sand","median_Percent_Coarse_Sand","median_Percent_Tot_Sand","median_Percent_Clay","median_Percent_Silt","median_mean_ssa","median_Lost_Gravimetric_Water"
"37","EC_040_INC","Dry",534.3,7.5,19.9,0.279,1.014,5.593,1.514,0.46,0.18,2.05,14.7,3.54,0.91,12.88,3.31,1.21,0.19,35.7,1.8,3.8,41.3,17.7,41,68.869,0.28
"38","EC_040_INC","Wet",494.8,7.3,20,233.337,860.091,12.516,3.426,0.66,0.66,1.41,13.09,4.03,0.99,14.85,3.63,1.81,0.43,35.7,1.8,3.8,41.3,17.7,41,68.869,0
"39","EC_041_INC","Dry",227.3,7.39,20.5,4.031,15.072,0.428,0.115,0.46,0.25,8.67,33.69,2.88,1.02,10.77,3.81,1.72,0.39,7.2,31.9,55,94.1,4.1,1.8,11.21,0.21
"40","EC_041_INC","Wet",252.05,7.23,20.2,137.714,513.1995,0.4725,0.127,0.71,0.71,33.485,111.49,2.75,0.785,10.23,2.925,1.565,0.26,7.2,31.9,55,94.1,4.1,1.8,11.21,0
"41","EC_042_INC","Dry",117.6,7.4,20.2,0.393,1.382,0.184,0.052,0.37,0.25,0.64,2.01,1.89,2.11,6.66,7.44,0.27,0.17,6.4,11.3,77,94.7,1.3,4,7.17733333333333,0.12
"42","EC_042_INC","Wet",114.2,7.24,20.3,3.199,11.2,0.00353103448275862,0.001,0.58,0.58,0.79,2.18,1.89,0.6,6.62,2.1,0.27,0.2,6.4,11.3,77,94.7,1.3,4,7.17733333333333,0
"43","EC_044_INC","Dry",125.4,5.44,20.7,0,0,0.148,0.049,0.22,0.07,13.92,40.69,3.13,1.91,9.55,5.8,0.48,0.29,12,23.3,59.7,95,2.6,2.4,9.6572,0.15
"44","EC_044_INC","Wet",122.4,5.98,20.7,3.858,11.797,0.225,0.073,0.43,0.43,19.41,49.89,4.21,0.53,12.8,1.62,0.31,0.23,12,23.3,59.7,95,2.6,2.4,9.6572,0
"45","EC_051_INC","Dry",41.98,7.23,21.2,0.241,0.832,0.498,0.144,0.36,0.23,40.85,137.48,1.46,0.77,5.06,2.66,0.67,0.2,6,6.6,72,84.6,4.3,11.1,64.1443333333333,0.13
"46","EC_051_INC","Wet",44.63,7.59,20.9,1.433,4.954,0.641,0.186,0.63,0.63,32.84,124.67,1.61,0.2,5.56,0.69,0.46,0.15,6,6.6,72,84.6,4.3,11.1,64.1443333333333,0
"47","EC_056_INC","Dry",18.72,5.94,20.6,0,0,0.05,0.017,0.17,0.03,0.89,2.56,2.87,0.28,8.38,0.81,0.16,0.01,3,25.3,70.2,98.5,1.5,0,2.183,0.14
"48","EC_056_INC","Wet",15.64,5.37,21,0,0,0.068,0.023,0.43,0.43,0.99,2.97,2.42,0.27,7.12,0.79,0.14,0.01,3,25.3,70.2,98.5,1.5,0,2.183,0
"49","EC_063_INC","Dry",120.6,6.78,20.7,0.376,1.131,0.676,0.223,0.2,0.05,28.4,95.92,8,1.13,24.21,3.4,0.31,0.15,6,44.3,47,97.3,1.9,0.8,2.17475,0.15
"50","EC_063_INC","Wet",111.6,6.44,20.7,5.037,15.193,1.055,0.35,0.48,0.48,21.92,63.06,9.73,0.61,29.32,1.85,0.3,0.11,6,44.3,47,97.3,1.9,0.8,2.17475,0
"51","EC_064_INC","Dry",290.4,7.34,20.9,0.69,4.1,0.162,0.027,1.22,0.95,44.49,137,2.8,1.31,16.66,7.78,0.59,0.29,7.2,15.2,67.7,90.1,2.3,7.6,2.01433333333333,0.27
"52","EC_064_INC","Wet",306.6,7.26,20.9,119.436,709.715,0.213,0.036,1.55,1.55,40.84,137.4,3.27,0.86,19.43,5.11,0.68,0.39,7.2,15.2,67.7,90.1,2.3,7.6,2.01433333333333,0
"53","EC_065_INC","Dry",31.76,5.76,19.5,3.078,10.47,0.543,0.16,0.35,0.23,22.43,71.41,1.73,0.2,5.93,0.67,0.27,0.17,14.2,52.1,26.9,93.2,4.9,1.9,11.5686666666667,0.12
"54","EC_065_INC","Wet",32.67,5.67,19.5,6.498,22.381,0.649,0.19,0.48,0.48,19.29,57.42,1.68,0.21,5.82,0.72,0.29,0.18,14.2,52.1,26.9,93.2,4.9,1.9,11.5686666666667,0
"55","EC_066_INC","Dry",38.61,6.17,20.3,0.14,0.446,0.18,0.056,0.27,0.11,2.89,9.37,23.51,0.8,75.03,2.55,0.2,0.02,1.2,0.5,94.5,96.2,2.1,1.7,10.0276666666667,0.16
"56","EC_066_INC","Wet",36.85,6.14,20.2,0.368,1.177,0.17,0.053,0.64,0.64,2.61,9.46,25.18,0.7,80.42,2.24,0.22,0.02,1.2,0.5,94.5,96.2,2.1,1.7,10.0276666666667,0
"57","EC_068_INC","Dry",273.8,6.74,21.8,248.984,1579.155,5.553,0.881,1.67,0.95,5.99,41.06,7.14,1.3,45.29,8.19,2.37,0.41,14.3,0.9,6.9,22.1,26.9,51,57.538,0.72
