"","Sample_Name","Sample_ID","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_L","Fe_mg_per_kg","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","average_ssa","SpC","Temp","pH","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g"
"38","EC_012_INC-W3","EC_012",-9999,-9999,0.339899077858819,1.56658691683871,"27.1","24.4","37.3","88.8","0","11.2",10.584,356.2,21.1,6.75,28.98,25.79,11.14
"39","EC_012_INC-W4","EC_012",-9999,-9999,0.298809702990166,1.37968393797906,"27.1","24.4","37.3","88.8","0","11.2",10.584,360.09,21.1,6.77,28.89,25.22,11.12
"40","EC_012_INC-W5","EC_012",-9999,-9999,0.357621729651163,1.64384333815661,"27.1","24.4","37.3","88.8","0","11.2",10.584,364.39,21.4,6.76,28.87,24.42,11.17
"41","EC_013_INC-D1","EC_013",-3.792,-19.386,0.130710524782973,0.668232827152349,"5.5","4.1","82","91.6","1.2","7.2",5.57266666666667,426.8,21.9,7.33,10.06,8.6,9.91
"42","EC_013_INC-D2","EC_013",-1.985,-10.128,0.198819098981191,1.01437784609105,"5.5","4.1","82","91.6","1.2","7.2",5.57266666666667,427.7,22,7.2,10.08,8.79,9.93
"43","EC_013_INC-D3","EC_013",-1.612,-8.241,0.245664968288516,1.25591566986893,"5.5","4.1","82","91.6","1.2","7.2",5.57266666666667,437.4,21.7,7.16,10.07,8.67,9.91
"44","EC_013_INC-D4","EC_013",-9999,-9999,0.323499674548323,1.65049990046744,"5.5","4.1","82","91.6","1.2","7.2",5.57266666666667,436.1,21.6,7.29,10.08,8.62,9.93
"45","EC_013_INC-D5","EC_013",-5.181,-26.46,0.266516885472929,1.36114364603982,"5.5","4.1","82","91.6","1.2","7.2",5.57266666666667,433.7,21.4,7.3,10.08,8.8,9.92
"46","EC_013_INC-W1","EC_013",-16.143,-82.528,0.230377939280793,1.17776362641603,"5.5","4.1","82","91.6","1.2","7.2",5.57266666666667,438.9,21.4,7.32,13.07,13.07,9.91
"47","EC_013_INC-W2","EC_013",-18.505,-94.223,0.259937436102592,1.32353872615735,"5.5","4.1","82","91.6","1.2","7.2",5.57266666666667,446.2,21.5,6.99,13.06,13.06,9.95
"48","EC_013_INC-W3","EC_013",-8.232,-41.958,0.236687533135303,1.20636825867544,"5.5","4.1","82","91.6","1.2","7.2",5.57266666666667,439.6,21.2,7.64,13.03,13.03,9.94
"49","EC_013_INC-W4","EC_013",-13.174,-67.214,0.211636690042411,1.07977337639664,"5.5","4.1","82","91.6","1.2","7.2",5.57266666666667,435.8,21.3,7.09,13,12.99,9.93
"50","EC_013_INC-W5","EC_013",-9999,-9999,0.252621407192123,1.28887798112533,"5.5","4.1","82","91.6","1.2","7.2",5.57266666666667,444.6,21.5,6.99,12.98,12.98,9.93
"51","EC_014_INC-D1","EC_014",-0.285,-1.168,0.234964642364936,0.96303445593378,"6.7","41.8","43.5","92","2.7","5.3",5.241,129.2,21,6.84,7.61,6.38,12.46
"52","EC_014_INC-D2","EC_014",-0.432,-1.773,0.242647919593284,0.996124325217798,"6.7","41.8","43.5","92","2.7","5.3",5.241,125.3,21.1,7,7.6,6.54,12.44
