"","Sample_Name","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_L","Fe_mg_per_kg","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","average_ssa","SpC","Temp","pH","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water"
"88","EC_085_INC-D",-0.6108,-2.1194,0.273128164729319,0.947392967984214,34.6,39,3.4,77,3.1,19.9,6.01133333333333,144.1,21.24,6.728,5.066,1.938,14.928,0.339362024953606,0.129815979455029,0.209546045498576
"89","EC_085_INC-W",-172.971,-599.9148,0.979684043466535,3.39835022677361,34.6,39,3.4,77,3.1,19.9,6.01133333333333,152.56,21.02,6.994,8.068,8.068,14.928,0.54046752086018,0.54046752086018,0
"90","EC_088_INC-D",-37.347,-142.028,0.180835861002676,0.688199576380176,28,21.5,18.5,68,3.3,28.7,27.682,83.522,20.66,5.84,6.256,2.574,13.736,0.455445571809142,0.187374146648135,0.268071425161007
"91","EC_088_INC-W",-229.9934,-875.7704,0.493374925142705,1.87907999009585,28,21.5,18.5,68,3.3,28.7,27.682,105.2,20.48,6.158,9.282,9.29,13.73,0.676040341453032,0.676622482006693,-0.000582140553660726
"92","EC_089_INC-D",-0.8706,-2.839,0.148748523462038,0.483984142750764,23.6,20.9,46.4,90.9,4.1,5,8.932,84.3,19.6,5.898,4.504,2.99,15.472,0.291106607826395,0.193251923516285,0.0978546843101104
"93","EC_089_INC-W",-2.249,-7.4066,0.177807149155597,0.585638614862134,23.6,20.9,46.4,90.9,4.1,5,8.932,98.784,19.48,5.922,7.51,7.51,15.492,0.484766905441108,0.484766905441108,0
"94","EC_090_INC-D",-0.2506,-0.7372,0.258719864668233,0.761095820307989,21,23.9,31.7,76.6,4.9,18.5,7.345,36.068,20.54,5.348,3.052,1.278,16.944,0.180122741967627,0.0754269237921591,0.104695818175468
"95","EC_090_INC-W",-141.885,-420.29675,0.802280650891583,2.37777471585149,21,23.9,31.7,76.6,4.9,18.5,7.345,28.635,20.525,5.9325,6.045,6.0375,16.9575,0.356478753592667,0.356036709927285,0.000442043665381156
"96","EC_091_INC-D",-3.4502,-11.4418,0.186948175762573,0.621520368254044,72.4,15,1.2,88.6,3.7,7.7,5.4435,162.08,20.04,6.364,4.896,2.628,15.098,0.324281234820642,0.174059060486169,0.150222174334473
"97","EC_091_INC-W",-132.9284,-443.5102,0.260151480803319,0.867775771131741,72.4,15,1.2,88.6,3.7,7.7,5.4435,153.9,20,6.804,7.898,7.9,15.124,0.52221703088709,0.522349481218216,-0.000132450331125833
"98","EC_092_INC-D",-0.51575,-1.53875,0.0558587422294866,0.167111451299265,14,19.1,56.4,89.5,3,7.5,2.85366666666667,142.2,20.025,6.88,3.3075,1.45,16.695,0.198113320567425,0.0868474875687023,0.111265832998722
"99","EC_092_INC-W",-3.9715,-12.03075,0.104843693043039,0.317548534770126,14,19.1,56.4,89.5,3,7.5,2.85366666666667,168.25,20.125,6.2,6.3275,6.3275,16.715,0.378552369182365,0.378552369182365,0
"100","EC_093_INC-D",-0.117,-0.358,0.0644925646495008,0.196795870859732,4.2,11.2,82.3,97.7,1.8,0.5,4.04066666666667,55.94,20.65,6.535,3.6575,1.9475,16.335,0.223905688201269,0.1192227231535,0.104682965047769
"101","EC_093_INC-W",-0.5092,-1.5734,0.0656077667120859,0.202691386194788,4.2,11.2,82.3,97.7,1.8,0.5,4.04066666666667,70.744,20.3,6.628,6.686,6.722,16.35,0.408929561565908,0.411128329840592,-0.00219876827468412
"102","EC_094_INC-D",-1.4384,-4.6942,0.409938131548046,1.33381490059536,23.6,18.9,48.6,91.1,4.1,4.8,5.065,238,20.4,6.618,4.45,2.472,15.564,0.285916386890263,0.158830506914382,0.127085879975881
"103","EC_094_INC-W",-128.557,-417.545,0.457807910282359,1.48758449403697,23.6,18.9,48.6,91.1,4.1,4.8,5.065,242.34,20.26,6.516,7.468,7.466,15.574,0.479517766673649,0.479389149310305,0.000128617363344041
"104","EC_095_INC-D",-3.316,-14.018,0.0375995621561516,0.158944976407892,45.2,16.1,4.2,65.5,1.8,32.7,12.832,369.9,19.5,5.42,7.57,3.41,12.45,0.608032128514056,0.273895582329317,0.334136546184739
"105","EC_095_INC-W",-285.814666666667,-1200.337,0.583921111909047,2.4561985500278,45.2,16.1,4.2,65.5,1.8,32.7,12.832,341.833333333333,19.5333333333333,5.67,10.5266666666667,10.5233333333333,12.4366666666667,0.84642608477225,0.846157700445894,0.000268384326355416
