"Sample_ID","Treat","Mean_SpC","Mean_pH","Mean_Temp","Mean_WithOutliers_Respiration_Rate_mg_DO_per_L_per_H","Mean_WithOutliers_Respiration_Rate_mg_DO_per_kg_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_L_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_kg_per_H","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water","Mean_ATP_nanomol_per_L","Mean_ATP_picomol_per_g","Mean_Fe_mg_per_kg","Mean_Fe_mg_per_L","mean_npoc","mean_tn","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","mean_ssa"
"EC_035","D",269.16,7.062,19.72,236.826,1684.287,236.826,1684.287,1.63621984893726,1.36840553439587,0.267814314541383,18.904,62.506,2.094,0.294,4.72714285714286,1.58571428571429,28.4,62.3,3.5,94.2,2.5,3.3,17.1256666666667
"EC_035","W",284.22,7.176,20,270.956,1921.495,270.956,1921.495,2.0254793524537,2.0254793524537,0,21.376,70.356,2.683,0.379,4.594,1.15,28.4,62.3,3.5,94.2,2.5,3.3,17.1256666666667
"EC_037","D",363.5,6.52,21.08,1.249,3.61,0.848,2.445,0.157790763885878,0.0571924610557155,0.100598302830163,7.376,22.286,0.134,0.046,3.941,3.417,3.7,4.7,89.3,97.7,2.3,0,5.7255
"EC_037","W",355.76,6.708,20.74,2.884,8.253,2.884,8.253,0.442189882353349,0.442189882353349,0,4.486,14.24,0.209,0.073,4.306,1.01,3.7,4.7,89.3,97.7,2.3,0,5.7255
"EC_038","D",159.8,6.65,20.8,0.321,0.997,0.321,0.997,0.23265452130669,0.123486843187132,0.109167678119558,7.922,25.896,0.481,0.155,5.874,1.432,5.2,12.1,80.5,97.8,2.2,0,6.034
"EC_038","W",146.72,6.782,20.98,29.489,91.877,7.677,23.901,0.542013057521012,0.542013057521012,0,17.03,48.356,0.53,0.17,4.398,0.604,5.2,12.1,80.5,97.8,2.2,0,6.034
"EC_039","D",526.48,7.59,20.44,0,0,0,0,0.296945227920462,0.161728022105171,0.135217205815291,5.18,14.746,0.114,0.035,3.91,1.322,3.7,25.3,67.9,96.9,3.1,0,5.336
"EC_039","W",503.96,7.346,20.36,4.127,13.532,0.534,1.739,0.425271867580723,0.425271867580723,0,6.202,20.042,0.084,0.025,3.726,0.468,3.7,25.3,67.9,96.9,3.1,0,5.336
"EC_040","D",534.94,7.436,19.94,0.406,1.481,0.31,1.134,0.461760156580286,0.176868535954428,0.284891620625858,2.156,13.788,6.269,1.72,3.28875,1.04625,35.7,1.8,3.8,41.3,17.7,41,68.869
"EC_040","W",492.46,7.31,20.06,222.754,819.64,222.754,819.64,0.662334442933141,0.662188882525572,0.000145560407569145,1.354,11.35,11.491,3.124,5.14,1.30833333333333,35.7,1.8,3.8,41.3,17.7,41,68.869
