"","Sample_ID","Rep","median_SpC","median_pH","median_Temp","median_Respiration_Rate_mg_DO_per_L_per_H","median_Respiration_Rate_mg_DO_per_kg_per_H","median_Fe_mg_per_kg","median_Fe_mg_per_L","median_Initial_Water_mass_g","median_Final_Water_mass_g","median_Dry_Sediment_Mass_g","median_Initial_Gravimetric_Moisture","median_Final_Gravimetric_Moisture","median_Incubation_Water_Mass_g","median_ATP_nanomol_per_L","median_ATP_picomol_per_g","median_Percent_Fine_Sand","median_Percent_Med_Sand","median_Percent_Coarse_Sand","median_Percent_Tot_Sand","median_Percent_Clay","median_Percent_Silt","median_mean_ssa","median_Lost_Gravimetric_Water"
"62","EC_065_INC","Wet",32.67,5.67,19.5,6.498,22.381,0.649,0.19,7.18,7.18,14.84,0.48,0.48,51.32,19.29,57.42,14.2,52.1,26.9,93.2,4.9,1.9,11.5686666666667,0
"63","EC_066_INC","Dry",38.61,6.17,20.3,0.14,0.446,0.18,0.056,4.21,1.79,15.81,0.27,0.11,50.57,2.89,9.37,1.2,0.5,94.5,96.2,2.1,1.7,10.0276666666667,0.16
"64","EC_066_INC","Wet",36.85,6.14,20.2,0.368,1.177,0.17,0.053,10.08,10.08,15.81,0.64,0.64,50.57,2.61,9.46,1.2,0.5,94.5,96.2,2.1,1.7,10.0276666666667,0
"65","EC_068_INC","Dry",273.8,6.74,21.8,248.984,1579.155,5.553,0.881,12.52,7.07,7.5,1.67,0.95,52.44,5.99,41.06,14.3,0.9,6.9,22.1,26.9,51,57.538,0.72
"66","EC_068_INC","Wet",307.9,6.81,21.8,260.234,1646.788,7.293,1.157,15.44,15.44,7.48,2.06,2.06,52.46,3,25.23,14.3,0.9,6.9,22.1,26.9,51,57.538,0
"67","EC_069_INC","Dry",1624,6.84,21,3.05,9.738,0.261,0.082,4.12,2.18,15.84,0.26,0.14,50.47,116.7,398.42,5.9,5.5,83.3,94.7,3.3,2,6.542,0.12
"68","EC_069_INC","Wet",1256,6.57,21.3,215.615,682.578,0.954,0.3,8.59,8.58,15.88,0.54,0.54,50.45,65.09,224.48,5.9,5.5,83.3,94.7,3.3,2,6.542,0
"69","EC_070_INC","Dry",147.3,7.01,21,0.647,2.239,1.032,0.297,5.33,3.16,14.68,0.36,0.22,51.02,22.71,73.85,37.2,46.1,4,87.3,3.4,9.3,3.45175,0.14
"70","EC_070_INC","Wet",167.2,6.71,21.2,2.742,9.532,0.997,0.287,8.82,8.82,14.65,0.6,0.6,51.04,14.31,44.55,37.2,46.1,4,87.3,3.4,9.3,3.45175,0
"71","EC_071_INC","Dry",564.6,6.67,20,6.601,33.451,0.373,0.074,9.48,5.94,10.53,0.9,0.57,53.31,5.87,43.58,27.2,21.6,2.5,51.3,1.7,47,46.784,0.33
"72","EC_071_INC","Wet",466.9,6.59,19.7,284.81,1437.535,1.573,0.312,11.47,11.47,10.55,1.09,1.09,53.3,7.03,69.9,27.2,21.6,2.5,51.3,1.7,47,46.784,0
"73","EC_072_INC","Dry",933.7,6.995,21,252.492,1274.4075,0.4095,0.081,10.02,5.795,9.985,1,0.58,50.32,9.255,67.97,11.6,4.7,1.2,17.5,44.5,38,99.0613333333333,0.42
"74","EC_072_INC","Wet",961.95,6.86,20.9,265.1615,1341.2575,0.95,0.1875,12.91,12.91,9.955,1.3,1.3,50.33,5.44,39.2,11.6,4.7,1.2,17.5,44.5,38,99.0613333333333,0
"75","EC_073_INC","Dry",103.2,7.5,21.3,0.291,1.415,0.967,0.2,9.15,6.93,10.9,0.84,0.64,52.78,4.37,12.89,5.7,2.6,87.1,95.4,0.4,4.2,4.4186,0.2
"76","EC_073_INC","Wet",110.4,7.7,21.3,2.367,11.485,1.216,0.251,12.1,12.1,10.88,1.11,1.11,52.79,4.46,13.48,5.7,2.6,87.1,95.4,0.4,4.2,4.4186,0
"77","EC_074_INC","Dry",119.7,6.78,21,0.515,1.546,0.098,0.033,3.28,1.26,16.7,0.2,0.08,50.2,5.26,18.61,2.2,20.2,75.9,98.3,1.7,0,6.0076,0.12
"78","EC_074_INC","Wet",104.1,6.94,20.8,0.588,1.759,0.066,0.022,6.77,6.77,16.72,0.4,0.4,50.19,4.82,13.04,2.2,20.2,75.9,98.3,1.7,0,6.0076,0
"79","EC_075_INC","Dry",204.3,7.26,21.9,2.22,7.719,0.959,0.278,5.29,1.73,14.68,0.36,0.12,51,25.59,111.24,59,26.1,1.4,86.5,3.8,9.7,10.907,0.24
"80","EC_075_INC","Wet",213.2,6.89,21.8,197.057,684.133,1.643,0.472,8.28,8.28,14.71,0.56,0.56,51,18.12,62.82,59,26.1,1.4,86.5,3.8,9.7,10.907,0
"81","EC_076_INC","Dry",719.4,7.57,20.9,2.316,7.509,0.225,0.069,4.5,0.75,15.5,0.29,0.05,50.76,56.98,174.03,27.9,28.4,13.6,69.9,4.7,25.4,12.886,0.24
"82","EC_076_INC","Wet",712.1,7.46,21.2,135.456,441.428,0.437,0.134,9.43,9.43,15.56,0.61,0.61,50.74,51.12,184.32,27.9,28.4,13.6,69.9,4.7,25.4,12.886,0
"83","EC_078_INC","Dry",714.7,6.85,21.2,2.341,10.209,0.655,0.151,8.02,5.34,12.08,0.66,0.44,52.39,45.22,243.31,39.1,34.1,5.2,78.4,1.3,20.3,23.7903333333333,0.22
"84","EC_078_INC","Wet",500.05,6.66,21.1,245.413,1057.801,1.637,0.378,10.97,10.97,12.07,0.91,0.91,52.39,33.41,149.39,39.1,34.1,5.2,78.4,1.3,20.3,23.7903333333333,0
"85","EC_080_INC","Dry",237.5,6.47,21,275.556,3492.72,2.855,0.225,15.74,13.1,4.3,3.66,3.04,54.63,6.72,156.03,43.9,33,2,78.9,13.5,7.6,80.5323333333333,0.62
